,evil
44247,0
72165,0
162103,0
157027,0
159979,0
29702,0
187646,0
35508,0
129400,0
66579,0
183027,0
42807,0
173509,0
72625,0
83444,0
69533,0
106326,0
44746,0
169395,0
10740,0
160092,0
127936,0
20495,0
162500,0
21478,0
67579,0
216,0
186084,0
141100,0
27567,0
142851,0
124364,0
77766,0
96658,0
48381,0
89806,0
115000,0
65811,0
160064,0
187370,0
31702,0
144543,0
33499,0
188907,0
164479,0
146928,0
134903,0
66963,0
88778,0
9189,0
168690,0
130593,0
105603,0
13033,0
43756,0
130446,0
150463,0
54373,0
185479,0
23862,0
169199,0
10642,0
170743,0
152331,0
46741,0
21744,0
36909,0
159163,0
10668,0
2811,0
73493,0
65006,0
104420,0
19341,0
5740,0
118062,0
169691,0
91519,0
121908,0
101688,0
21514,0
42026,0
153556,0
76811,0
134616,0
36646,0
97806,0
119824,0
38794,0
21464,0
165009,0
20689,0
173891,0
114213,0
270674,1
112837,0
120702,0
153482,0
166354,0
128734,0
181611,0
121406,0
5687,0
93779,0
36046,0
158314,0
108089,0
79365,0
112843,0
130276,0
2422,0
116636,0
147555,0
47214,0
169732,0
115148,0
134883,0
10959,0
55271,0
42710,0
87014,0
134040,0
94801,0
126256,0
63516,0
157035,0
183703,0
55880,0
43963,0
103676,0
143820,0
52103,0
177650,0
75195,0
67679,0
143449,0
138050,0
109891,0
109063,0
83758,0
7092,0
26099,0
156916,0
163981,0
39408,0
120367,0
159669,0
129803,0
92492,0
100125,0
150216,0
21349,0
162599,0
188659,0
149991,0
111078,0
17832,0
19484,0
120463,0
139814,0
83557,0
43694,0
11306,0
175844,0
130087,0
13398,0
96492,0
135181,0
5025,0
45859,0
129198,0
172556,0
104282,0
11207,0
56101,0
78766,0
157471,0
49983,0
171266,0
174300,0
10578,0
175074,0
150355,0
104428,0
15143,0
163627,0
113790,0
2974,0
73525,0
27875,0
57063,0
70347,0
20266,0
98885,0
25645,0
13875,0
72890,0
180692,0
94372,0
61492,0
161990,0
45556,0
36549,0
97875,0
71464,0
42361,0
66971,0
2323,0
56681,0
51565,0
148938,0
82479,0
137615,0
15148,0
175356,0
38222,0
115097,0
8876,0
101608,0
13789,0
68738,0
48208,0
318176,1
50828,0
68522,0
63529,0
121282,0
89562,0
173176,0
139527,0
72903,0
69443,0
176607,0
155811,0
149729,0
177806,0
55965,0
33486,0
138142,0
126070,0
99066,0
146944,0
46555,0
182018,0
146849,0
18512,0
35224,0
185203,0
124458,0
108862,0
84929,0
15914,0
106651,0
185264,0
186967,0
136094,0
177728,0
32409,0
23078,0
111926,0
116985,0
34459,0
44501,0
105262,0
122000,0
97782,0
173031,0
143868,0
83348,0
51410,0
183471,0
19827,0
97096,0
9255,0
129242,0
54634,0
150302,0
177913,0
32359,0
93874,0
21498,0
89992,0
157401,0
161476,0
49185,0
174142,0
171821,0
56584,0
108982,0
40686,0
93302,0
172657,0
104058,0
139671,0
126917,0
124588,0
172451,0
63297,0
167734,0
109388,0
108071,0
62381,0
92874,0
158744,0
63773,0
90779,0
139850,0
103094,0
83308,0
20833,0
25654,0
14499,0
28998,0
97350,0
161922,0
58797,0
57495,0
31980,0
610,0
156821,0
92296,0
120060,0
88789,0
50922,0
35124,0
291833,1
43720,0
156574,0
63175,0
154891,0
54120,0
78979,0
118434,0
123790,0
143869,0
142162,0
15750,0
117796,0
185191,0
123836,0
68479,0
21575,0
117714,0
93122,0
105697,0
95661,0
187600,0
137542,0
133300,0
57631,0
140136,0
51254,0
180420,0
106245,0
172202,0
21358,0
60197,0
159708,0
123099,0
154347,0
43272,0
175168,0
160410,0
138019,0
65499,0
12761,0
116899,0
178178,0
178657,0
143571,0
105130,0
24328,0
6162,0
55839,0
92332,0
46822,0
77542,0
96090,0
321,0
58359,0
10654,0
175163,0
31073,0
130003,0
164749,0
125478,0
137695,0
22402,0
152336,0
48004,0
44104,0
146398,0
126877,0
68166,0
46561,0
107205,0
6860,0
93546,0
137879,0
124948,0
120231,0
123048,0
73492,0
163365,0
49069,0
157594,0
9718,0
74123,0
72978,0
66117,0
182658,0
179006,0
119426,0
59019,0
90660,0
158752,0
17658,0
89183,0
62566,0
147861,0
163782,0
13779,0
6406,0
179046,0
17654,0
157303,0
62948,0
102899,0
48005,0
172391,0
115985,0
57611,0
90321,0
122079,0
76815,0
116485,0
111644,0
175758,0
42004,0
143403,0
36843,0
81925,0
11441,0
160249,0
85158,0
186163,0
13560,0
109470,0
16906,0
155913,0
39457,0
18783,0
89894,0
141359,0
22019,0
89116,0
98110,0
79509,0
103897,0
97579,0
7926,0
147442,0
153846,0
174396,0
2228,0
7021,0
166630,0
30554,0
85874,0
152338,0
48439,0
100469,0
27269,0
80191,0
167071,0
60851,0
128615,0
20942,0
96221,0
36535,0
35871,0
6822,0
75425,0
77569,0
126460,0
64468,0
65500,0
158379,0
100232,0
124974,0
33228,0
56063,0
22371,0
87458,0
66876,0
69652,0
139461,0
162348,0
72651,0
38715,0
123120,0
101732,0
48544,0
28698,0
32728,0
106633,0
152291,0
103758,0
13110,0
149331,0
22128,0
129294,0
170178,0
84499,0
38163,0
89938,0
30097,0
144523,0
156427,0
13905,0
143603,0
25765,0
31726,0
52239,0
21429,0
44117,0
138972,0
49349,0
161202,0
29990,0
97555,0
266603,1
65423,0
45915,0
142832,0
73014,0
50045,0
14576,0
125872,0
106206,0
128635,0
134893,0
9343,0
41802,0
55521,0
104501,0
172111,0
177431,0
129735,0
177724,0
169553,0
24490,0
166252,0
50863,0
103287,0
171353,0
67932,0
139103,0
146073,0
25886,0
101503,0
25488,0
86740,0
39671,0
178788,0
110132,0
21794,0
138532,0
7391,0
7711,0
336857,1
14138,0
82200,0
56725,0
124905,0
17272,0
80369,0
82486,0
63945,0
151386,0
110210,0
47344,0
123132,0
61890,0
2205,0
185578,0
164252,0
128870,0
119821,0
166685,0
115322,0
117243,0
111849,0
148017,0
76600,0
105860,0
50411,0
153658,0
55531,0
13450,0
85071,0
34554,0
45412,0
131078,0
2412,0
111431,0
80023,0
23524,0
74622,0
136404,0
173831,0
135789,0
145030,0
5002,0
34163,0
183322,0
64566,0
42543,0
55099,0
44878,0
337074,1
132687,0
175212,0
175260,0
142561,0
108917,0
114754,0
184967,0
146719,0
89666,0
184093,0
137199,0
52080,0
90597,0
87716,0
18041,0
138732,0
143927,0
66733,0
42312,0
174495,0
4007,0
71734,0
149142,0
33764,0
116259,0
97007,0
167441,0
159403,0
66947,0
165673,0
128121,0
173585,0
68463,0
186331,0
183862,0
164962,0
140668,0
53043,0
64996,0
12719,0
132979,0
154960,0
42520,0
4275,0
42532,0
119449,0
101657,0
146663,0
159439,0
115708,0
125144,0
89885,0
169649,0
122201,0
95946,0
188148,0
113515,0
21798,0
157724,0
34675,0
111052,0
78909,0
16646,0
169977,0
170968,0
126695,0
15898,0
104766,0
39760,0
11625,0
73339,0
117127,0
66802,0
68446,0
134707,0
122538,0
1544,0
121057,0
36854,0
146904,0
165222,0
102685,0
60842,0
171981,0
155415,0
139988,0
14225,0
77617,0
65298,0
33322,0
1228,0
119839,0
153409,0
30277,0
19796,0
179541,0
112975,0
7319,0
42859,0
94422,0
114319,0
156867,0
52348,0
24286,0
40878,0
34320,0
29706,0
128594,0
164512,0
122956,0
171799,0
154400,0
159552,0
135462,0
101790,0
34496,0
53458,0
44004,0
174784,0
33198,0
127171,0
176558,0
109078,0
34572,0
176124,0
18808,0
187874,0
188396,0
159143,0
110399,0
135396,0
125595,0
117344,0
5038,0
174492,0
100713,0
175868,0
86961,0
26599,0
69238,0
167257,0
32605,0
175147,0
177565,0
129015,0
91533,0
7275,0
39289,0
165933,0
139971,0
74154,0
93374,0
20753,0
98241,0
97608,0
125741,0
114496,0
104617,0
116526,0
181238,0
36577,0
112457,0
131197,0
157008,0
153797,0
55379,0
50586,0
12735,0
106271,0
39756,0
66570,0
100266,0
61147,0
123916,0
42389,0
113290,0
114073,0
116948,0
127875,0
38130,0
132094,0
106497,0
113840,0
99248,0
179639,0
144960,0
80649,0
84272,0
114972,0
111933,0
121223,0
38744,0
107287,0
70055,0
108938,0
5477,0
172282,0
183367,0
52584,0
89812,0
114549,0
17721,0
59206,0
188315,0
144584,0
101032,0
4611,0
57748,0
61808,0
88590,0
186646,0
122097,0
100342,0
43157,0
62063,0
186840,0
77023,0
130564,0
22624,0
82552,0
95556,0
49810,0
71972,0
53085,0
54358,0
94344,0
103716,0
31678,0
44263,0
165826,0
90135,0
63513,0
169058,0
40461,0
31911,0
89132,0
63402,0
5598,0
150953,0
48343,0
94147,0
17846,0
71909,0
90590,0
142555,0
64644,0
16091,0
146461,0
164888,0
109424,0
26769,0
2351,0
163442,0
113961,0
76040,0
109141,0
64766,0
55772,0
131313,0
147709,0
85657,0
43923,0
31759,0
136832,0
18611,0
131359,0
54048,0
140750,0
58136,0
97658,0
143093,0
136678,0
128738,0
153365,0
7374,0
105704,0
3675,0
102918,0
80379,0
74015,0
71034,0
82041,0
74202,0
87800,0
87339,0
35410,0
149079,0
183284,0
41597,0
13368,0
122798,0
43012,0
1538,0
162306,0
137627,0
53398,0
22721,0
63011,0
105081,0
144237,0
68106,0
114581,0
29998,0
9587,0
52461,0
142503,0
171832,0
112436,0
178229,0
55557,0
138502,0
68927,0
316658,1
6590,0
29641,0
74094,0
162359,0
132285,0
74971,0
7695,0
97162,0
123863,0
41649,0
176471,0
107083,0
54773,0
118536,0
35548,0
29865,0
18660,0
159691,0
181389,0
142470,0
57587,0
127486,0
121842,0
184347,0
88240,0
100627,0
108623,0
40453,0
30037,0
150563,0
161640,0
229990,1
131765,0
148851,0
84874,0
165094,0
74237,0
95871,0
20221,0
71500,0
85463,0
95069,0
14153,0
19714,0
109953,0
120724,0
109808,0
22458,0
186733,0
57294,0
105448,0
73484,0
113783,0
168416,0
78023,0
114312,0
36165,0
43525,0
40357,0
99633,0
60763,0
93936,0
147805,0
21000,0
84293,0
81237,0
98205,0
142551,0
74537,0
155014,0
70902,0
121768,0
118563,0
82813,0
172090,0
143872,0
80459,0
99713,0
115187,0
3959,0
150531,0
90300,0
40527,0
96680,0
132818,0
27662,0
128078,0
180066,0
157479,0
85355,0
15586,0
30293,0
4459,0
12096,0
106418,0
97630,0
170779,0
76650,0
150709,0
136857,0
106325,0
170748,0
117947,0
46006,0
115301,0
53484,0
4366,0
128142,0
158147,0
84430,0
127963,0
28878,0
94528,0
144655,0
7526,0
335813,1
85111,0
22164,0
152773,0
163366,0
105670,0
157095,0
113142,0
153161,0
41331,0
82349,0
6631,0
40565,0
27611,0
47782,0
4862,0
47531,0
18095,0
162455,0
224540,1
144277,0
69816,0
32581,0
167304,0
88849,0
177737,0
95252,0
138564,0
134451,0
139320,0
20071,0
152507,0
240560,1
125139,0
154510,0
87115,0
94923,0
16203,0
42053,0
51665,0
148569,0
64836,0
10044,0
100559,0
169638,0
29747,0
15289,0
29018,0
167985,0
96634,0
6270,0
70323,0
103168,0
116409,0
38895,0
183715,0
101260,0
139968,0
52285,0
27469,0
13936,0
119705,0
76874,0
185119,0
30405,0
174161,0
52149,0
52875,0
104435,0
141197,0
11271,0
169215,0
179342,0
64724,0
79352,0
165425,0
15055,0
167969,0
163606,0
26892,0
55639,0
522,0
177477,0
172200,0
113280,0
40912,0
187372,0
95174,0
117492,0
32661,0
135536,0
67316,0
102757,0
77,0
20702,0
183591,0
117626,0
103814,0
94941,0
34581,0
38933,0
161445,0
41599,0
8910,0
5270,0
123869,0
63245,0
188253,0
181083,0
139708,0
123221,0
175241,0
82161,0
28122,0
129790,0
51862,0
56927,0
157949,0
12972,0
2991,0
106527,0
63698,0
181008,0
119293,0
183410,0
103224,0
58108,0
159750,0
12316,0
78900,0
50804,0
35195,0
10633,0
64709,0
154693,0
2502,0
187510,0
20669,0
65575,0
40888,0
159181,0
48207,0
175379,0
59516,0
15452,0
135476,0
80325,0
74395,0
79721,0
81051,0
30501,0
72734,0
64216,0
166845,0
59226,0
82151,0
180299,0
66120,0
83309,0
31714,0
27153,0
49180,0
116514,0
59729,0
166929,0
27156,0
320089,1
117182,0
148443,0
67121,0
46872,0
147258,0
164584,0
135983,0
80523,0
157430,0
53738,0
81694,0
56870,0
33264,0
71309,0
1927,0
70318,0
170599,0
139788,0
17550,0
82918,0
93039,0
2304,0
79285,0
84829,0
29913,0
164646,0
124472,0
104193,0
124338,0
159795,0
59583,0
103826,0
8619,0
38605,0
37304,0
136475,0
55073,0
52466,0
154893,0
110428,0
9898,0
105725,0
118619,0
8938,0
4161,0
142784,0
111609,0
87258,0
54161,0
182961,0
156589,0
52156,0
331758,1
116937,0
125024,0
15980,0
159338,0
35002,0
116035,0
134021,0
123151,0
78,0
178444,0
120413,0
167193,0
34156,0
179112,0
186014,0
115437,0
68294,0
147120,0
124089,0
182995,0
56750,0
124614,0
35133,0
148860,0
112193,0
37006,0
22171,0
318622,1
106442,0
27196,0
34012,0
159985,0
25092,0
3559,0
118385,0
123150,0
20391,0
23166,0
9466,0
107596,0
533,0
132635,0
153805,0
101926,0
24961,0
152334,0
34239,0
133177,0
8795,0
170279,0
34259,0
60665,0
39536,0
16080,0
38614,0
86906,0
134426,0
147474,0
98786,0
92007,0
138768,0
117274,0
16798,0
120553,0
128074,0
28651,0
136476,0
104292,0
48643,0
18454,0
68224,0
103737,0
35552,0
175060,0
32236,0
59378,0
154485,0
143039,0
92782,0
7680,0
4888,0
89957,0
177446,0
90809,0
103003,0
68309,0
73381,0
60397,0
56988,0
30676,0
82,0
151638,0
55007,0
38691,0
91500,0
176769,0
45163,0
115364,0
91792,0
161501,0
73523,0
136452,0
33266,0
175410,0
110901,0
33375,0
33214,0
110616,0
89259,0
107286,0
134135,0
176706,0
109607,0
168012,0
6596,0
162046,0
160150,0
80230,0
179349,0
13923,0
161791,0
35298,0
115280,0
7070,0
9290,0
169721,0
174412,0
176668,0
34654,0
98023,0
169793,0
134632,0
178808,0
15337,0
69604,0
105529,0
144679,0
68769,0
148351,0
152422,0
95159,0
53657,0
114389,0
106,0
88554,0
123680,0
64174,0
94663,0
76116,0
176677,0
108818,0
181300,0
3013,0
22292,0
128988,0
104961,0
91018,0
47830,0
99752,0
104399,0
145092,0
146608,0
86224,0
105950,0
70564,0
53399,0
64747,0
49888,0
46503,0
148230,0
8544,0
185723,0
32538,0
70806,0
28724,0
58823,0
13640,0
130228,0
101018,0
12988,0
24006,0
29080,0
75546,0
64630,0
160135,0
109746,0
133845,0
33206,0
148471,0
91903,0
168615,0
13116,0
180807,0
51997,0
134436,0
98597,0
125620,0
606,0
170273,0
143842,0
125258,0
109716,0
142810,0
120613,0
82071,0
61663,0
55356,0
27601,0
72205,0
1482,0
14265,0
42424,0
127769,0
22225,0
279225,1
35684,0
93699,0
92352,0
99031,0
68580,0
16137,0
180864,0
117728,0
102714,0
49999,0
24428,0
80190,0
180381,0
161722,0
171456,0
138603,0
160370,0
186249,0
174073,0
135233,0
100113,0
137955,0
159789,0
85849,0
127962,0
105517,0
6001,0
90024,0
188933,0
46103,0
102139,0
36592,0
179669,0
19246,0
111797,0
161981,0
14945,0
158409,0
87569,0
8695,0
96778,0
181248,0
139615,0
72872,0
57494,0
93990,0
48821,0
102411,0
16332,0
77060,0
76122,0
184715,0
85227,0
66910,0
56202,0
2888,0
142518,0
62649,0
133534,0
152460,0
115625,0
87577,0
169072,0
111633,0
18044,0
78154,0
165719,0
126738,0
14010,0
1634,0
32232,0
175231,0
4618,0
16179,0
181426,0
156104,0
128100,0
175577,0
27422,0
126190,0
59041,0
175815,0
95446,0
187397,0
69402,0
105525,0
74071,0
65128,0
162052,0
186501,0
31664,0
119687,0
85365,0
10392,0
115217,0
17307,0
66605,0
34616,0
52810,0
86936,0
84354,0
32949,0
118547,0
107064,0
43205,0
40331,0
59430,0
124541,0
59702,0
102270,0
57992,0
33489,0
59881,0
157196,0
27723,0
123736,0
143444,0
115573,0
36227,0
154150,0
80444,0
59942,0
115711,0
75725,0
3612,0
167229,0
43138,0
88996,0
142911,0
122671,0
14281,0
2894,0
150955,0
85878,0
165617,0
3701,0
187658,0
154590,0
119961,0
49403,0
60509,0
25473,0
52169,0
149423,0
36368,0
137919,0
128933,0
53421,0
177939,0
101939,0
94665,0
123433,0
90782,0
167145,0
32615,0
81241,0
130063,0
90972,0
183910,0
56753,0
57143,0
175590,0
173764,0
159267,0
180900,0
105847,0
1883,0
37084,0
102456,0
52916,0
60366,0
4566,0
106257,0
43874,0
49768,0
120887,0
33307,0
43305,0
144610,0
21319,0
47934,0
158240,0
150429,0
6667,0
169161,0
96019,0
50926,0
60229,0
179471,0
37216,0
96038,0
158331,0
176395,0
104950,0
87406,0
124873,0
64213,0
83716,0
155279,0
180923,0
153992,0
41248,0
36256,0
126788,0
162266,0
157126,0
146032,0
13688,0
129126,0
117021,0
105822,0
110170,0
154866,0
46781,0
101721,0
72645,0
100382,0
180006,0
106937,0
311027,1
15609,0
109007,0
165821,0
11182,0
174085,0
3591,0
97393,0
50206,0
39565,0
114045,0
182371,0
128181,0
29550,0
97961,0
180559,0
318164,1
184308,0
64698,0
93113,0
74674,0
129646,0
83156,0
69569,0
92623,0
432,0
23793,0
73735,0
36197,0
50154,0
151305,0
181417,0
104421,0
109689,0
70947,0
122253,0
77133,0
138194,0
116050,0
126811,0
138065,0
182229,0
120961,0
128114,0
159367,0
178224,0
37471,0
150047,0
5833,0
150903,0
172490,0
185015,0
197531,1
87659,0
149650,0
2815,0
121496,0
40179,0
45259,0
164471,0
119884,0
169227,0
169702,0
99436,0
127200,0
15396,0
117807,0
43225,0
106402,0
76140,0
158602,0
50297,0
119637,0
125140,0
88206,0
129246,0
106291,0
118966,0
102344,0
36798,0
31734,0
178903,0
141825,0
54340,0
109855,0
70128,0
162546,0
85598,0
33497,0
27660,0
79492,0
156798,0
133816,0
25846,0
88951,0
35227,0
73810,0
176777,0
184035,0
26019,0
15137,0
91766,0
11941,0
37695,0
127021,0
78362,0
15545,0
173619,0
59242,0
101567,0
188708,0
67674,0
169488,0
26469,0
63435,0
67171,0
110080,0
38356,0
95976,0
46290,0
50560,0
56570,0
75265,0
166446,0
41056,0
139484,0
26710,0
32618,0
130985,0
151551,0
145965,0
15404,0
139530,0
16440,0
67924,0
49734,0
86429,0
118168,0
14075,0
168435,0
3405,0
36970,0
23998,0
142683,0
66988,0
69253,0
69381,0
113980,0
39972,0
11232,0
20735,0
70790,0
116429,0
159553,0
155794,0
150383,0
101217,0
42159,0
100506,0
99827,0
129936,0
93191,0
114563,0
98634,0
115338,0
71791,0
92547,0
156288,0
130269,0
108842,0
162171,0
13152,0
148392,0
84782,0
33373,0
76238,0
77936,0
14176,0
59693,0
187964,0
115874,0
44400,0
82440,0
45459,0
168324,0
17835,0
303049,1
36004,0
1744,0
33093,0
84409,0
177293,0
176702,0
83441,0
158079,0
158051,0
6231,0
144172,0
119808,0
156340,0
96888,0
180016,0
51118,0
156527,0
1364,0
147128,0
52596,0
62956,0
73418,0
168424,0
161259,0
20646,0
71719,0
78185,0
99680,0
35011,0
14166,0
157894,0
71820,0
40995,0
3242,0
122129,0
47543,0
161769,0
110490,0
105613,0
67198,0
135707,0
105751,0
167592,0
96244,0
16603,0
142538,0
177837,0
62671,0
172744,0
60400,0
71126,0
78659,0
20672,0
153735,0
35119,0
101541,0
50201,0
186260,0
124011,0
7298,0
84505,0
84726,0
160922,0
23660,0
54397,0
50683,0
57068,0
83065,0
77586,0
80719,0
183509,0
140274,0
126411,0
35711,0
177518,0
37885,0
165930,0
116991,0
162808,0
60002,0
61341,0
92308,0
18666,0
60356,0
101139,0
114632,0
170833,0
162854,0
132825,0
75664,0
32112,0
22784,0
4488,0
100671,0
107472,0
28586,0
179478,0
131857,0
102779,0
88083,0
148607,0
118453,0
63471,0
81007,0
104579,0
64079,0
55190,0
22982,0
148717,0
81796,0
145287,0
180932,0
48960,0
149358,0
26323,0
15335,0
144350,0
168943,0
170106,0
34845,0
186825,0
138562,0
39569,0
170545,0
161133,0
83311,0
99767,0
113405,0
125365,0
88160,0
29368,0
47359,0
11704,0
158117,0
163688,0
156295,0
149006,0
82264,0
102173,0
186108,0
12606,0
165190,0
56732,0
171579,0
4945,0
144839,0
107606,0
51817,0
103051,0
164917,0
16887,0
127419,0
53660,0
111242,0
160675,0
90484,0
100647,0
139090,0
70598,0
172619,0
186435,0
62675,0
95773,0
27603,0
167816,0
102755,0
173653,0
55365,0
152115,0
64356,0
151780,0
89245,0
157245,0
114721,0
68004,0
61647,0
133743,0
50431,0
169417,0
69314,0
104727,0
161421,0
65984,0
161999,0
52422,0
122628,0
53224,0
188084,0
126813,0
175414,0
99946,0
71607,0
150558,0
74481,0
32830,0
57386,0
48512,0
174779,0
98938,0
109153,0
40292,0
53928,0
26184,0
169537,0
6411,0
21135,0
38139,0
108191,0
20541,0
208297,1
68083,0
5867,0
17351,0
171225,0
170591,0
150252,0
80009,0
80985,0
154169,0
183464,0
110703,0
71675,0
135982,0
147596,0
38225,0
166004,0
66986,0
7913,0
97168,0
56253,0
2000,0
37584,0
138612,0
76752,0
159809,0
94091,0
158077,0
115936,0
129101,0
88751,0
55989,0
145874,0
125360,0
92125,0
13698,0
99648,0
127784,0
107080,0
5886,0
79145,0
150122,0
18481,0
185608,0
52759,0
160066,0
34860,0
94785,0
181482,0
178749,0
86099,0
82305,0
19498,0
24375,0
162519,0
111268,0
75561,0
19879,0
42188,0
26330,0
47028,0
144940,0
29041,0
167789,0
35630,0
146980,0
12457,0
113241,0
60656,0
14873,0
164571,0
174606,0
80595,0
10829,0
49518,0
86200,0
41240,0
15981,0
140946,0
87451,0
156922,0
178623,0
115961,0
125881,0
33262,0
6828,0
83198,0
11076,0
72117,0
176253,0
13601,0
135040,0
43537,0
84692,0
77317,0
77331,0
27732,0
29858,0
150464,0
55964,0
144150,0
48972,0
138968,0
57310,0
85610,0
160766,0
149037,0
163314,0
70668,0
32292,0
76350,0
141306,0
98916,0
52303,0
142692,0
46610,0
167251,0
128398,0
35104,0
34567,0
3972,0
173274,0
41504,0
95292,0
176176,0
49838,0
82843,0
172129,0
24875,0
52592,0
36861,0
119628,0
113456,0
96488,0
76158,0
46651,0
41650,0
120,0
145647,0
147980,0
142973,0
60156,0
60215,0
153269,0
101629,0
24104,0
58099,0
174902,0
173212,0
86298,0
184195,0
70471,0
118549,0
21561,0
130378,0
70722,0
59396,0
89613,0
120711,0
183738,0
146770,0
88171,0
164128,0
51039,0
188412,0
114310,0
175024,0
49912,0
159049,0
57376,0
6125,0
106995,0
150901,0
131141,0
48293,0
57927,0
127347,0
120998,0
32132,0
25348,0
109245,0
151494,0
43179,0
59394,0
159684,0
130723,0
106748,0
169971,0
19882,0
140527,0
182738,0
152697,0
143658,0
57980,0
41685,0
174918,0
161304,0
10810,0
75578,0
102359,0
90768,0
151931,0
37445,0
81589,0
154701,0
141124,0
177628,0
3295,0
121230,0
141940,0
86029,0
170208,0
106677,0
126390,0
183056,0
85135,0
154492,0
154603,0
124067,0
44324,0
37894,0
157442,0
121144,0
167164,0
49972,0
44980,0
14475,0
2698,0
109785,0
110796,0
187554,0
148874,0
159088,0
136497,0
158663,0
75364,0
20558,0
38891,0
156247,0
60644,0
314954,1
34193,0
34971,0
10480,0
47905,0
155383,0
148028,0
80028,0
51503,0
46887,0
52061,0
158014,0
84903,0
180218,0
7641,0
166133,0
122517,0
42744,0
33785,0
150995,0
74398,0
86945,0
58610,0
92362,0
12214,0
162567,0
64072,0
102285,0
50452,0
27726,0
146789,0
34612,0
152932,0
150811,0
46369,0
628,0
34457,0
43130,0
22197,0
67625,0
17239,0
81731,0
31743,0
60093,0
188533,0
118080,0
101106,0
187767,0
124838,0
158850,0
27770,0
128090,0
21236,0
90021,0
71906,0
110828,0
86351,0
29745,0
14478,0
23393,0
121821,0
112354,0
121515,0
101349,0
153447,0
104389,0
101122,0
26726,0
162442,0
90274,0
103004,0
130328,0
182564,0
172003,0
164601,0
71490,0
33979,0
118680,0
94718,0
12259,0
39704,0
120399,0
41987,0
28317,0
17927,0
141445,0
116473,0
68520,0
54694,0
312201,1
125708,0
53552,0
155156,0
51442,0
118282,0
23062,0
127904,0
55845,0
166717,0
1800,0
61853,0
139873,0
134421,0
153017,0
183060,0
183964,0
60758,0
66352,0
178711,0
60727,0
115107,0
59241,0
53327,0
131228,0
45841,0
48447,0
131527,0
140377,0
84550,0
139045,0
111677,0
69039,0
168587,0
